439 Medford St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
115 Josephine Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
27 Murdock St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
64 Alpine St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
12 Holyoke Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
29 WARWICK St,,,MA,2145,,,,,,,,,,,,,,,,,
209 Highland Ave,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
26 Hall St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
33 Main St,5,Somerville,MA,2145,,,,,,,,,,,,,,,,,
10 Roberts St,31,Somerville,MA,2145,,,,,,,,,,,,,,,,,
437 Medford St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
35 Cedar St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
33 Cherry St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
74 Hinckley St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
352 LOWELL St,,,MA,2145,,,,,,,,,,,,,,,,,
391 Broadway,109,Somerville,MA,2145,,,,,,,,,,,,,,,,,
137 Sycamore St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
17 Boston Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
39 Hinckley St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
56 Porter St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
474 Broadway,31,Somerville,MA,2145,,,,,,,,,,,,,,,,,
20 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
34 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
121 Hancock St,2R,Somerville,MA,2144,,,,,,,,,,,,,,,,,
11 Linden Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
278 HIGHLAND Ave,Unit 3R,,MA,2143,,,,,,,,,,,,,,,,,
437 Medford St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
14 Murdock St,8-Mar,Somerville,MA,2145,,,,,,,,,,,,,,,,,
7 Pembroke Ct,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
63 Adams St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
41 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
97 Josephine Ave,3,Somerville,MA,2144,,,,,,,,,,,,,,,,,
11 Woodbine St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
86 HIGHLAND Rd,,,MA,2144,,,,,,,,,,,,,,,,,
31 Adams St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
30 Partridge Ave,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
76 Benton Rd,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
27 Alpine St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
425 Broadway,20,Somerville,MA,2145,,,,,,,,,,,,,,,,,
53 Cherry St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
18 Boston Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
59 Adams St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
154 Cedar St,43,Somerville,MA,2144,,,,,,,,,,,,,,,,,
252 Summer St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
12 Alpine St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
182 Central St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
282 Cedar St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
116 Pearson Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
136 Hudson St,3,Somerville,MA,2144,,,,,,,,,,,,,,,,,
20 Clyde St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
391 Broadway,102,Somerville,MA,2145,,,,,,,,,,,,,,,,,
27 Princeton St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
412 Broadway,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
37 Glenwood Rd,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
41 Rogers Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
